SAC,NYK,Drew,,,,,
George Washington,Saint Louis,Max,,,,,
Indiana State,UIC,Max,,,,,
Georgia Tech,Virginia Tech,Max,,,,,
Western Michigan,Northern Illinois,Max,,,,,
MIL,PHI,Jaron,,,,,
NOP,OKC,Jaron,,,,,
DAL,STL,Scott,,,,,
CHI,MIN,Scott,,,,,
Kansas State,West Virginia,Max,,,,,
Tennessee Tech,Tennessee State,Max,,,,,
Purdue,Indiana,Max,,,,,
Kentucky,Vanderbilt,Max,,,,,
Missouri,Alabama,Max,,,,,
Massachusetts,Miami (OH),Kamal,,,,,
Saint Joseph's,Loyola Chicago,Max,,,,,
DET,DEN,Drew,,,,,
BKN,PHX,Panos,,,,,
Creighton,Marquette,Kamal,,,,,
Boise State,San José State,Kamal,,,,,
LAC,UTA,Panos,,,,,
SJS,VAN,Scott,,,,,
WSH,SEA,Scott,,,,,
Grand Canyon,Nevada,Max,,,,,
New Mexico,UNLV,Max,,,,,